Repository,Repository_url,AI_Recommended_License,Reason
actions-slack-status,https://github.com/hashicorp/actions-slack-status,No license,"No reason provided"
admin-partitions,https://github.com/hashicorp/admin-partitions,No license,"No reason provided"
api-double,https://github.com/hashicorp/api-double,No license,"No reason provided"
atlas-go,https://github.com/hashicorp/atlas-go,No license,"No reason provided"
atlas-terraform-tutorial,https://github.com/hashicorp/atlas-terraform-tutorial,No license,"No reason provided"
aviatrix-terraform-consul-webinar,https://github.com/hashicorp/aviatrix-terraform-consul-webinar,No license,"No reason provided"
awesome-terraform-enterprise,https://github.com/hashicorp/awesome-terraform-enterprise,No license,"No reason provided"
aws-cloudformation-resource-schema-sdk-go,https://github.com/hashicorp/aws-cloudformation-resource-schema-sdk-go,No license,"No reason provided"
aws-sdk-go,https://github.com/hashicorp/aws-sdk-go,No license,"No reason provided"
aws-sdk-go-base,https://github.com/hashicorp/aws-sdk-go-base,No license,"No reason provided"
aws-service-catalog-engine-for-tfc,https://github.com/hashicorp/aws-service-catalog-engine-for-tfc,No license,"No reason provided"
awspolicyequivalence,https://github.com/hashicorp/awspolicyequivalence,No license,"No reason provided"
azure-consul,https://github.com/hashicorp/azure-consul,No license,"No reason provided"
azure-sdk-for-go,https://github.com/hashicorp/azure-sdk-for-go,No license,"No reason provided"
backport-dummy,https://github.com/hashicorp/backport-dummy,No license,"No reason provided"
boundary,https://github.com/hashicorp/boundary,No license,"No reason provided"
boundary-guides,https://github.com/hashicorp/boundary-guides,No license,"No reason provided"
boundary-plugin-aws,https://github.com/hashicorp/boundary-plugin-aws,No license,"No reason provided"
boundary-plugin-azure,https://github.com/hashicorp/boundary-plugin-azure,No license,"No reason provided"
boundary-plugin-gcp,https://github.com/hashicorp/boundary-plugin-gcp,No license,"No reason provided"
